Fitness,Corridor Width,1L2T - Invasion
0.74,0.09,0
0.76,0.09,0
0.78,0.09,0
0.8,0.09,0
0.82,0.09,0
0.84,0.09,0
0.86,0.09,0
0.88,0.09,0
0.9,0.09,0
0.92,0.09,0
0.94,0.09,0
0.96,0.09,0
0.98,0.09,0
1,0.09,0
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0
0.72,0.1,0
0.74,0.1,0
0.76,0.1,0
0.78,0.1,0
0.8,0.1,0
0.82,0.1,0
0.84,0.1,0
0.86,0.1,0
0.88,0.1,0
0.9,0.1,0
0.92,0.1,0
0.94,0.1,0
0.96,0.1,0
0.98,0.1,0
1,0.1,0
0.6,0.11,0
0.62,0.11,0
0.64,0.11,0
0.66,0.11,0
0.68,0.11,0
0.7,0.11,0
0.72,0.11,0
0.74,0.11,0
0.76,0.11,0
0.78,0.11,0
0.8,0.11,0
0.82,0.11,0
0.84,0.11,0
0.86,0.11,0
0.88,0.11,0
0.9,0.11,0
0.92,0.11,0
0.94,0.11,0
0.96,0.11,0
0.98,0.11,0
1,0.11,0
0.6,0.12,0
0.62,0.12,0
0.64,0.12,0
0.66,0.12,0
0.68,0.12,0
0.7,0.12,0
0.72,0.12,0
0.74,0.12,0
0.76,0.12,0
0.78,0.12,0
0.8,0.12,0
0.82,0.12,0
0.84,0.12,0
0.86,0.12,0
0.88,0.12,0
0.9,0.12,0
0.92,0.12,0
0.94,0.12,0
0.96,0.12,0
0.98,0.12,0
1,0.12,0
0.6,0.13,0
0.62,0.13,0
0.64,0.13,0
0.66,0.13,0
0.68,0.13,0
0.7,0.13,0
0.72,0.13,0
0.74,0.13,0
0.76,0.13,0
0.78,0.13,0
0.8,0.13,0
0.82,0.13,0
0.84,0.13,0
0.86,0.13,0
0.88,0.13,0
0.9,0.13,0
0.92,0.13,0
0.94,0.13,0
0.96,0.13,0
0.98,0.13,0
1,0.13,0
0.6,0.14,0
0.62,0.14,0
0.64,0.14,0
0.66,0.14,0
0.68,0.14,0
0.7,0.14,0
0.72,0.14,0
0.74,0.14,0
0.76,0.14,0
0.78,0.14,0
0.8,0.14,0
0.82,0.14,0
0.84,0.14,0
0.86,0.14,0
0.88,0.14,0
0.9,0.14,0
0.92,0.14,0
0.94,0.14,0
0.96,0.14,0
0.98,0.14,0
1,0.14,0
0.6,0.15,0
0.62,0.15,0
0.64,0.15,0
0.66,0.15,0
0.68,0.15,0
0.7,0.15,0
0.72,0.15,0
0.74,0.15,0
0.76,0.15,0
0.78,0.15,0
0.8,0.15,0
0.82,0.15,0
0.84,0.15,0
0.86,0.15,0
0.88,0.15,0
0.9,0.15,0
0.92,0.15,0
0.94,0.15,0
0.96,0.15,0
0.98,0.15,0
1,0.15,0
0.6,0.16,0
0.62,0.16,0
0.64,0.16,0
0.66,0.16,0
0.68,0.16,0
0.7,0.16,0
0.72,0.16,0
0.74,0.16,0
0.76,0.16,0
0.78,0.16,0
0.8,0.16,0
0.82,0.16,0
0.84,0.16,0
0.86,0.16,0
0.88,0.16,0
0.9,0.16,0
0.92,0.16,0
0.94,0.16,0
0.96,0.16,0
0.98,0.16,0
1,0.16,0
0.6,0.17,0
0.62,0.17,0
0.64,0.17,0
0.66,0.17,0
0.68,0.17,0
0.7,0.17,0
0.72,0.17,0
0.74,0.17,0
0.76,0.17,0
0.78,0.17,0
0.8,0.17,0
0.82,0.17,0
0.84,0.17,0
0.86,0.17,0
0.88,0.17,0
0.9,0.17,0
0.92,0.17,0
0.94,0.17,0
0.96,0.17,0
0.98,0.17,0
1,0.17,0
0.6,0.18,0
0.62,0.18,0
0.64,0.18,0
0.66,0.18,0
0.68,0.18,0
0.7,0.18,0
0.72,0.18,0
0.74,0.18,0
0.76,0.18,0
0.78,0.18,0
0.8,0.18,0
0.82,0.18,0
0.84,0.18,0
0.86,0.18,0
0.88,0.18,0
0.9,0.18,0
0.92,0.18,0
0.94,0.18,0
0.96,0.18,0
0.98,0.18,0
1,0.18,0
0.6,0.19,0
0.62,0.19,0
0.64,0.19,0
0.66,0.19,0
0.68,0.19,0
0.7,0.19,0
0.72,0.19,0
0.74,0.19,0
0.76,0.19,0
0.78,0.19,0
0.8,0.19,0
0.82,0.19,0
0.84,0.19,0
0.86,0.19,0
0.88,0.19,0
0.9,0.19,0
0.92,0.19,0
0.94,0.19,0
0.96,0.19,0
0.98,0.19,0
1,0.19,0
0.6,0.2,0
0.62,0.2,0
0.64,0.2,0
0.66,0.2,0
0.68,0.2,0
0.7,0.2,0
0.72,0.2,0
0.74,0.2,0
0.76,0.2,0
0.78,0.2,0
0.8,0.2,0
0.82,0.2,0
0.84,0.2,0
0.86,0.2,0
0.88,0.2,0
0.9,0.2,0
0.92,0.2,0
0.94,0.2,0
0.96,0.2,0
0.98,0.2,0
1,0.2,0
0.6,0,0.00E+00
0.62,0,0.00E+00
0.64,0,0.00E+00
0.66,0,0.00E+00
0.68,0,0.00E+00
0.7,0,0.00E+00
0.72,0,0.00E+00
0.74,0,0.00E+00
0.76,0,0.00E+00
0.78,0,0.00E+00
0.8,0,0.00E+00
0.82,0,0.00E+00
0.84,0,0.00E+00
0.86,0,0.00E+00
0.88,0,0.00E+00
0.9,0,0.00E+00
0.92,0,0.00E+00
0.94,0,0.00E+00
0.96,0,0.00E+00
0.98,0,0.00E+00
1,0,0.00E+00
